ideology_estimate,id_str,timestamp,retweeted_status.id_str,user.id_str,user.screen_name,user.location,user.description,coordinates.coordinates.0,coordinates.coordinates.1,text,AffectCount,MoralWordsCount,negCount,posCount,AffectRatio,MoralWordsRatio,negRatio,posRatio
-1.592,6.07E+17,6/4/2015 22:30,6.07E+17,116357694,AcaciaJules,Here,"BS in History considering a masters in archaeology. I love history, Drag Queens, the paranormal, sci-fi, mystery and comedy shows....not in that order.",NA,NA,RT @MarkRuffalo: @ChrisEvans Calling all superheroes! The #climate needs us now. Join the call for 100% Clean Energy: http://t.co/JLJ5Qt25PH,1,1,0,1,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456
-0.919,6.07E+17,6/4/2015 22:30,NA,41735126,AyeKillzs_,"Fayettteville,NC","#RealWizKhalifa #TeamCute #TeamPoloSwag #TeamSexy,Stay Just Fly Fresh Nigga",NA,NA,"If you want grown-ups to recycle, just tell their kids the importance of recycling, and they'll be all over it.♻",0,0,0,0,0.0,0.0,0.0,0.0
-1.181,6.07E+17,6/4/2015 22:30,6.07E+17,23866855,MrMurder37,,Raiders Nation resident dissident,NA,NA,"RT @EricBoehlert: Voting is bad, climate change isn't real, don't raise the minimum wage, stop gays from marrying....This is one of great G…",2,1,0,1,0.07692307692307693,0.038461538461538464,0.0,0.038461538461538464
-1.059,6.07E+17,6/4/2015 22:30,6.07E+17,139112983,Go2CleanBreak,Toronto,Editor-in-Chief of Corporate Knights; adjunct professor of ecostudies at York University; author of Mad Like Tesla,NA,NA,RT @MarkRuffalo: We can't afford a compromise on #climate at the #G7. Join the global call for 100% Clean Energy by 2050. Sign &amp; RT! http:/…,1,1,0,1,0.03571428571428571,0.03571428571428571,0.0,0.03571428571428571
-0.863,6.07E+17,6/4/2015 22:31,6.07E+17,993309463,silent_not,"El Paso, TX",Who I follow and who follows me determines where I am..,NA,NA,RT @Jackthelad1947: How Your Taxes Help Inflate The Value Of Coastal Properties Threatened By Climate Change http://t.co/VSgwjhD3fk #Auspol…,2,2,1,1,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.047619047619047616
-1.094,6.07E+17,6/4/2015 22:31,6.07E+17,115615024,STindale,London,"Father. Energy and climate consultant, including to @thorium_wf, @TidalLagoon, @ReEnergiseToday. Pro-EU Brit.  Labour activist. Spurs fan.  Optimist...",NA,NA,"RT @edgoncalv: @timfarron in fine form spelling out bold liberal vision on Europe, immigration, climate change, human rights &amp; more https:/…",2,2,0,2,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091
-0.919,6.07E+17,6/4/2015 22:31,NA,324297518,kiwinerd,"Toronto, Canada","Homeland: Aotearoa/NZ. Home: Toronto, Canada. Human: late-40s physics educator, bicyclist, genderqueer person w disabilities. More info: http://ap.io/t/",NA,NA,A Texan woman I met on the ferry yesterday evening commented how great it was to see a climate change slogan plastered on a local church ^_^,1,1,0,1,0.037037037037037035,0.037037037037037035,0.0,0.037037037037037035
-0.633,6.07E+17,6/4/2015 22:31,6.07E+17,407051134,HotHonduran,,"USA!!Welcoming ALL supporters!!!My tweeting, RTstyle, opinions, music, research etc are my ideas to post alone..... batmansdaughter0@gmail",NA,NA,RT @MarkRuffalo: @SamuelLJackson Calling all superheroes! The #climate needs us now. Join the call for 100% Clean Energy: http://t.co/JLJ5Q…,1,1,0,1,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456
-1.52,6.07E+17,6/4/2015 22:32,6.07E+17,20387593,KatyyBaker,,Actress. Activist. Humanist. Advocate. Co-founder of @Sassy_Sopranos. Vice President of the @ISF_KidsArmy.,NA,NA,RT @MarkRuffalo: We can't afford a compromise on #climate at the #G7. Join the global call for 100% Clean Energy by 2050. Sign &amp; RT! http:/…,1,1,0,1,0.03571428571428571,0.03571428571428571,0.0,0.03571428571428571
-1.423,6.07E+17,6/4/2015 22:32,NA,792036438,s5218906,,None,NA,NA,I just took action to protect #solar! Join me and help grow our clean energy economy: via @LCVoters  http://t.co/pdhDqhYX3B,1,4,0,1,0.045454545454545456,0.18181818181818182,0.0,0.045454545454545456
-1.099,6.07E+17,6/4/2015 22:32,NA,496110141,Fractivista,Pennsylvania,Anti-Fracking Activist,NA,NA,"GUD - IKEA Commits $1.13 Billion to Fight Climate Change and Invest in Renewable Energy, Lorraine Chow, EcoWatch: http://t.co/6JWTIPYN5Y",2,1,1,1,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.045454545454545456
-1.329,6.07E+17,6/4/2015 22:32,6.07E+17,271830680,aaaChristiine,,"'First and first-mostly,' these are a few of my favorite things COMEDY COMEDY COMEDY MUSIC BOOKS SPORTS MOVIES COMEDY Art Pilates...",NA,NA,"RT @SerialFuckup: If by recycle, you mean making the same bad decisions over &amp; over again, then yes, I fucking recycle.",2,1,1,0,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.0
-1.291,6.07E+17,6/4/2015 22:33,6.07E+17,293225451,KeiryJasmin,she/her ,that sounds pretty bad but I don't speak asshole,NA,NA,RT @MarkRuffalo: @ChrisEvans Calling all superheroes! The #climate needs us now. Join the call for 100% Clean Energy: http://t.co/JLJ5Qt25PH,1,1,0,1,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456
-0.015,6.07E+17,6/4/2015 22:33,6.07E+17,1969699820,mssurvivorsq,,Hereditary Witch in a long term relationship with the most wonderful man in the world :-D  I find gun nuts to be annoying.,NA,NA,"RT @EricBoehlert: Voting is bad, climate change isn't real, don't raise the minimum wage, stop gays from marrying....This is one of great G…",2,1,0,1,0.07692307692307693,0.038461538461538464,0.0,0.038461538461538464
-1.188,6.07E+17,6/4/2015 22:33,6.07E+17,842196260,Mpulsiv19,,No justice... No Peace,NA,NA,"RT @EricBoehlert: Voting is bad, climate change isn't real, don't raise the minimum wage, stop gays from marrying....This is one of great G…",2,1,0,1,0.07692307692307693,0.038461538461538464,0.0,0.038461538461538464
-0.785,6.07E+17,6/4/2015 22:34,6.07E+17,253771192,XAVY_GARCIA,,...escencia...,NA,NA,RT @MarkRuffalo: @ChrisEvans Calling all superheroes! The #climate needs us now. Join the call for 100% Clean Energy: http://t.co/JLJ5Qt25PH,1,1,0,1,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456
-1.397,6.07E+17,6/4/2015 22:35,NA,47285504,MarkRuffalo,NYS,"I'm a husband, father, actor, director, and a climate change advocate with an eye on a better, brighter, cleaner, more hopeful future for all of us.",NA,NA,@HayleyAtwell Calling all superheroes! The #climate needs us now. Join the call for 100% Clean Energy: http://t.co/JLJ5Qt25PH,1,1,0,1,0.05,0.05,0.0,0.05
